symbol,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31
AAL,,,,,,,,,,,,
AAT,,,,,,,,,,,,
AXL,,,,,,,,,,,,
ACC,,,,,,,,,,,,
AMMJ,,,,,,,,,,,,
CRYO,,,,,,,,,,,,
ADFS,,,,,,,,,,,,
AEO,,,,,,,,,,,,
AMCT,,,,,,,,,,,,
AETI,,,,,,,,,,,,
AFBG,,,,,,,,,,,,
AFGH,,,,,,,,,,,,
AFGE,,,,,,,,,,,,
AFG,,,,,,,,,,,,
AGIN,,,,,,,,,,,,
AMH,,,,,,,,,,,,
AMH^G,,,,,,,,,,,,
AMH^F,,,,,,,,,,,,
AMH-D,,,,,,,,,,,,
AMH^D,,,,,,,,,,,,
AMH^E,,,,,,,,,,,,
AIG,,,,,,,,,,,,
AIG.WS,,,,,,,,,,,,
ALN,,,,,,,,,,,,
AMRR,,,,,,,,,,,,
AMID,,,,,,,,,,,,
AMNB,,,,,,,,,,,,
AOBC,,,,,,,,,,,,
APGI,,,,,,,,,,,,
APEI,,,,,,,,,,,,
ARII,,,,,,,,,,,,
ARL,,,,,,,,,,,,
AREB,,,,,,,,,,,,
ARA,,,,,,,,,,,,
ARGB,,,,,,,,,,,,
AMRB,,,,,,,,,,,,
AMS,,,,,,,,,,,,
AMSWA,,,,,,,,,,,,
AQQSQ,,,,,,,,,,,,
AVD,,,,,,,,,,,,
ACAN,,,,,,,,,,,,
APU,,,,,,,,,,,,
ABCB,,,,,,,,,,,,
AMSF,,,,,,,,,,,,
ABC,,,,,,,,,,,,
AMTY,,,,,,,,,,,,
AMGN,,,,,,,,,,,,
AJBI,,,,,,,,,,,,
FOLD,,,,,,,,,,,,
AMKR,,,,,,,,,,,,
POWW,,,,,,,,,,,,
AMN,,,,,,,,,,,,
AMPLQ,,,,,,,,,,,,
AMPH,,,,,,,,,,,,
