,symbol,title,actual,forecast,previous,datetime,symbol_pair,preceding_price
120711,NZD,CPI q/q,17.86,0.004,0.0,2005-06-18 17:45:00,NZDJPY,-2.0
120646,NZD,GDT Price Index,30.29,,-0.024,2005-06-19 10:33:00,NZDJPY,-2.0
120621,NZD,CPI q/q,17.86,0.004,0.0,2005-06-19 17:45:00,NZDJPY,-2.0
120556,NZD,GDT Price Index,30.29,,-0.024,2005-06-20 10:33:00,NZDJPY,0.0
120534,NZD,CPI q/q,17.86,0.004,0.0,2005-06-20 17:45:00,NZDJPY,0.0
120468,NZD,GDT Price Index,30.29,,-0.024,2005-06-21 10:33:00,NZDJPY,0.0
120446,NZD,CPI q/q,17.86,0.004,0.0,2005-06-21 17:45:00,NZDJPY,0.0
120380,NZD,GDT Price Index,30.29,,-0.024,2005-06-22 10:33:00,NZDJPY,0.0
120358,NZD,CPI q/q,17.86,0.004,0.0,2005-06-22 17:45:00,NZDJPY,0.0
120292,NZD,GDT Price Index,30.29,,-0.024,2005-06-23 10:33:00,NZDJPY,0.0
120271,NZD,CPI q/q,17.86,0.004,0.0,2005-06-23 17:45:00,NZDJPY,0.0
120206,NZD,GDT Price Index,30.29,,-0.024,2005-06-24 10:33:00,NZDJPY,-1.0
120184,NZD,CPI q/q,17.86,0.004,0.0,2005-06-24 17:45:00,NZDJPY,0.0
120116,NZD,GDT Price Index,30.29,,-0.024,2005-06-25 10:33:00,NZDJPY,-2.0
120094,NZD,CPI q/q,17.86,0.004,0.0,2005-06-25 17:45:00,NZDJPY,-2.0
120027,NZD,GDT Price Index,30.29,,-0.024,2005-06-26 10:33:00,NZDJPY,-2.0
120005,NZD,CPI q/q,17.86,0.004,0.0,2005-06-26 17:45:00,NZDJPY,-2.0
119940,NZD,GDT Price Index,30.29,,-0.024,2005-06-27 10:33:00,NZDJPY,0.0
119918,NZD,CPI q/q,17.86,0.004,0.0,2005-06-27 17:45:00,NZDJPY,0.0
119852,NZD,GDT Price Index,30.29,,-0.024,2005-06-28 10:33:00,NZDJPY,0.0
119830,NZD,CPI q/q,17.86,0.004,0.0,2005-06-28 17:45:00,NZDJPY,0.0
119764,NZD,GDT Price Index,30.29,,-0.024,2005-06-29 10:33:00,NZDJPY,0.0
119742,NZD,CPI q/q,17.86,0.004,0.0,2005-06-29 17:45:00,NZDJPY,0.0
119676,NZD,GDT Price Index,30.29,,-0.024,2005-06-30 10:33:00,NZDJPY,0.0
119654,NZD,CPI q/q,17.86,0.004,0.0,2005-06-30 17:45:00,NZDJPY,0.0
119588,NZD,GDT Price Index,30.29,,-0.024,2005-07-01 10:33:00,NZDJPY,0.0
119566,NZD,CPI q/q,17.86,0.004,0.0,2005-07-01 17:45:00,NZDJPY,0.0
119500,NZD,GDT Price Index,30.29,,-0.024,2005-07-02 10:33:00,NZDJPY,-2.0
119481,NZD,CPI q/q,17.86,0.004,0.0,2005-07-02 17:45:00,NZDJPY,-2.0
119412,NZD,GDT Price Index,30.29,,-0.024,2005-07-03 10:33:00,NZDJPY,-2.0
119390,NZD,CPI q/q,17.86,0.004,0.0,2005-07-03 17:45:00,NZDJPY,-2.0
119324,NZD,GDT Price Index,30.29,,-0.024,2005-07-04 10:33:00,NZDJPY,0.0
119302,NZD,CPI q/q,17.86,0.004,0.0,2005-07-04 17:45:00,NZDJPY,0.0
119236,NZD,GDT Price Index,30.29,,-0.024,2005-07-05 10:33:00,NZDJPY,0.0
119214,NZD,CPI q/q,17.86,0.004,0.0,2005-07-05 17:45:00,NZDJPY,0.0
119148,NZD,GDT Price Index,30.29,,-0.024,2005-07-06 10:33:00,NZDJPY,0.0
119126,NZD,CPI q/q,17.86,0.004,0.0,2005-07-06 17:45:00,NZDJPY,0.0
119060,NZD,GDT Price Index,30.29,,-0.024,2005-07-07 10:33:00,NZDJPY,0.0
119040,NZD,CPI q/q,17.86,0.004,0.0,2005-07-07 17:45:00,NZDJPY,0.0
118972,NZD,GDT Price Index,30.29,,-0.024,2005-07-08 10:33:00,NZDJPY,0.0
118950,NZD,CPI q/q,17.86,0.004,0.0,2005-07-08 17:45:00,NZDJPY,0.0
118883,NZD,GDT Price Index,30.29,,-0.024,2005-07-09 10:33:00,NZDJPY,-2.0
118862,NZD,CPI q/q,17.86,0.004,0.0,2005-07-09 17:45:00,NZDJPY,-2.0
118806,NZD,GDT Price Index,30.29,,-0.024,2005-07-10 10:33:00,NZDJPY,-2.0
118774,NZD,CPI q/q,17.86,0.004,0.0,2005-07-10 17:45:00,NZDJPY,-2.0
118709,NZD,GDT Price Index,30.29,,-0.024,2005-07-11 10:33:00,NZDJPY,0.0
118686,NZD,CPI q/q,17.86,0.004,0.0,2005-07-11 17:45:00,NZDJPY,0.0
118620,NZD,GDT Price Index,30.29,,-0.024,2005-07-12 10:33:00,NZDJPY,0.0
118601,NZD,CPI q/q,17.86,0.004,0.0,2005-07-12 17:45:00,NZDJPY,0.0
118539,NZD,GDT Price Index,30.29,,-0.024,2005-07-13 10:33:00,NZDJPY,0.0
118510,NZD,CPI q/q,17.86,0.004,0.0,2005-07-13 17:45:00,NZDJPY,0.0
118444,NZD,GDT Price Index,30.29,,-0.024,2005-07-14 10:33:00,NZDJPY,0.0
118422,NZD,CPI q/q,17.86,0.004,0.0,2005-07-14 17:45:00,NZDJPY,0.0
118360,NZD,GDT Price Index,30.29,,-0.024,2005-07-15 10:33:00,NZDJPY,0.0
118335,NZD,CPI q/q,17.86,0.004,0.0,2005-07-15 17:45:00,NZDJPY,0.0
118268,NZD,GDT Price Index,30.29,,-0.024,2005-07-16 10:33:00,NZDJPY,-2.0
118246,NZD,CPI q/q,17.86,0.004,0.0,2005-07-16 17:45:00,NZDJPY,-2.0
118178,NZD,GDT Price Index,30.29,,-0.024,2005-07-17 10:33:00,NZDJPY,-2.0
118158,NZD,CPI q/q,17.86,0.004,0.0,2005-07-17 17:45:00,NZDJPY,-2.0
118091,NZD,GDT Price Index,30.29,,-0.024,2005-07-18 10:33:00,NZDJPY,0.0
118070,NZD,CPI q/q,17.86,0.004,0.0,2005-07-18 17:45:00,NZDJPY,0.0
118004,NZD,GDT Price Index,30.29,,-0.024,2005-07-19 10:33:00,NZDJPY,0.0
117982,NZD,CPI q/q,17.86,0.004,0.0,2005-07-19 17:45:00,NZDJPY,0.0
117916,NZD,GDT Price Index,30.29,,-0.024,2005-07-20 10:33:00,NZDJPY,0.0
117894,NZD,CPI q/q,17.86,0.004,0.0,2005-07-20 17:45:00,NZDJPY,0.0
117828,NZD,GDT Price Index,30.29,,-0.024,2005-07-21 10:33:00,NZDJPY,0.0
117806,NZD,CPI q/q,17.86,0.004,0.0,2005-07-21 17:45:00,NZDJPY,1.0
117742,NZD,GDT Price Index,30.29,,-0.024,2005-07-22 10:33:00,NZDJPY,0.0
117718,NZD,CPI q/q,17.86,0.004,0.0,2005-07-22 17:45:00,NZDJPY,0.0
117652,NZD,GDT Price Index,30.29,,-0.024,2005-07-23 10:33:00,NZDJPY,-2.0
117627,NZD,CPI q/q,17.86,0.004,0.0,2005-07-23 17:45:00,NZDJPY,-2.0
117564,NZD,GDT Price Index,30.29,,-0.024,2005-07-24 10:33:00,NZDJPY,-2.0
117542,NZD,CPI q/q,17.86,0.004,0.0,2005-07-24 17:45:00,NZDJPY,-2.0
117476,NZD,GDT Price Index,30.29,,-0.024,2005-07-25 10:33:00,NZDJPY,0.0
117454,NZD,CPI q/q,17.86,0.004,0.0,2005-07-25 17:45:00,NZDJPY,0.0
117388,NZD,GDT Price Index,30.29,,-0.024,2005-07-26 10:33:00,NZDJPY,0.0
117365,NZD,CPI q/q,17.86,0.004,0.0,2005-07-26 17:45:00,NZDJPY,0.0
117300,NZD,GDT Price Index,30.29,,-0.024,2005-07-27 10:33:00,NZDJPY,0.0
117278,NZD,CPI q/q,17.86,0.004,0.0,2005-07-27 17:45:00,NZDJPY,0.0
117212,NZD,GDT Price Index,30.29,,-0.024,2005-07-28 10:33:00,NZDJPY,0.0
117188,NZD,CPI q/q,17.86,0.004,0.0,2005-07-28 17:45:00,NZDJPY,0.0
117133,NZD,GDT Price Index,30.29,,-0.024,2005-07-29 10:33:00,NZDJPY,0.0
117102,NZD,CPI q/q,17.86,0.004,0.0,2005-07-29 17:45:00,NZDJPY,0.0
117036,NZD,GDT Price Index,30.29,,-0.024,2005-07-30 10:33:00,NZDJPY,-2.0
117014,NZD,CPI q/q,17.86,0.004,0.0,2005-07-30 17:45:00,NZDJPY,-2.0
116948,NZD,GDT Price Index,30.29,,-0.024,2005-07-31 10:33:00,NZDJPY,-2.0
116926,NZD,CPI q/q,17.86,0.004,0.0,2005-07-31 17:45:00,NZDJPY,-2.0
116860,NZD,GDT Price Index,30.29,,-0.024,2005-08-01 10:33:00,NZDJPY,0.0
116838,NZD,CPI q/q,17.86,0.004,0.0,2005-08-01 17:45:00,NZDJPY,0.0
116772,NZD,GDT Price Index,30.29,,-0.024,2005-08-02 10:33:00,NZDJPY,0.0
116750,NZD,CPI q/q,17.86,0.004,0.0,2005-08-02 17:45:00,NZDJPY,0.0
116684,NZD,GDT Price Index,30.29,,-0.024,2005-08-03 10:33:00,NZDJPY,0.0
116662,NZD,CPI q/q,17.86,0.004,0.0,2005-08-03 17:45:00,NZDJPY,0.0
116596,NZD,GDT Price Index,30.29,,-0.024,2005-08-04 10:33:00,NZDJPY,0.0
116574,NZD,CPI q/q,17.86,0.004,0.0,2005-08-04 17:45:00,NZDJPY,0.0
116508,NZD,GDT Price Index,30.29,,-0.024,2005-08-05 10:33:00,NZDJPY,0.0
116486,NZD,CPI q/q,17.86,0.004,0.0,2005-08-05 17:45:00,NZDJPY,0.0
116420,NZD,GDT Price Index,30.29,,-0.024,2005-08-06 10:33:00,NZDJPY,-2.0
116398,NZD,CPI q/q,17.86,0.004,0.0,2005-08-06 17:45:00,NZDJPY,-2.0
116332,NZD,GDT Price Index,30.29,,-0.024,2005-08-07 10:33:00,NZDJPY,-2.0
116310,NZD,CPI q/q,17.86,0.004,0.0,2005-08-07 17:45:00,NZDJPY,-2.0
116243,NZD,GDT Price Index,30.29,,-0.024,2005-08-08 10:33:00,NZDJPY,0.0
116222,NZD,CPI q/q,17.86,0.004,0.0,2005-08-08 17:45:00,NZDJPY,0.0
116156,NZD,GDT Price Index,30.29,,-0.024,2005-08-09 10:33:00,NZDJPY,0.0
116134,NZD,CPI q/q,17.86,0.004,0.0,2005-08-09 17:45:00,NZDJPY,0.0
116069,NZD,GDT Price Index,30.29,,-0.024,2005-08-10 10:33:00,NZDJPY,0.0
116046,NZD,CPI q/q,17.86,0.004,0.0,2005-08-10 17:45:00,NZDJPY,0.0
115980,NZD,GDT Price Index,30.29,,-0.024,2005-08-11 10:33:00,NZDJPY,0.0
115958,NZD,CPI q/q,17.86,0.004,0.0,2005-08-11 17:45:00,NZDJPY,0.0
115892,NZD,GDT Price Index,30.29,,-0.024,2005-08-12 10:33:00,NZDJPY,0.0
115871,NZD,CPI q/q,17.86,0.004,0.0,2005-08-12 17:45:00,NZDJPY,0.0
115804,NZD,GDT Price Index,30.29,,-0.024,2005-08-13 10:33:00,NZDJPY,-2.0
115782,NZD,CPI q/q,17.86,0.004,0.0,2005-08-13 17:45:00,NZDJPY,-2.0
115716,NZD,GDT Price Index,30.29,,-0.024,2005-08-14 10:33:00,NZDJPY,-2.0
115694,NZD,CPI q/q,17.86,0.004,0.0,2005-08-14 17:45:00,NZDJPY,-2.0
115628,NZD,GDT Price Index,30.29,,-0.024,2005-08-15 10:33:00,NZDJPY,0.0
115606,NZD,CPI q/q,17.86,0.004,0.0,2005-08-15 17:45:00,NZDJPY,1.0
115540,NZD,GDT Price Index,30.29,,-0.024,2005-08-16 10:33:00,NZDJPY,0.0
115518,NZD,CPI q/q,17.86,0.004,0.0,2005-08-16 17:45:00,NZDJPY,0.0
115452,NZD,GDT Price Index,30.29,,-0.024,2005-08-17 10:33:00,NZDJPY,0.0
115430,NZD,CPI q/q,17.86,0.004,0.0,2005-08-17 17:45:00,NZDJPY,0.0
115367,NZD,GDT Price Index,30.29,,-0.024,2005-08-18 10:33:00,NZDJPY,0.0
115342,NZD,CPI q/q,17.86,0.004,0.0,2005-08-18 17:45:00,NZDJPY,0.0
115276,NZD,GDT Price Index,30.29,,-0.024,2005-08-19 10:33:00,NZDJPY,0.0
115254,NZD,CPI q/q,17.86,0.004,0.0,2005-08-19 17:45:00,NZDJPY,0.0
115188,NZD,GDT Price Index,30.29,,-0.024,2005-08-20 10:33:00,NZDJPY,-2.0
115166,NZD,CPI q/q,17.86,0.004,0.0,2005-08-20 17:45:00,NZDJPY,-2.0
115100,NZD,GDT Price Index,30.29,,-0.024,2005-08-21 10:33:00,NZDJPY,-2.0
115078,NZD,CPI q/q,17.86,0.004,0.0,2005-08-21 17:45:00,NZDJPY,-2.0
115012,NZD,GDT Price Index,30.29,,-0.024,2005-08-22 10:33:00,NZDJPY,0.0
114990,NZD,CPI q/q,17.86,0.004,0.0,2005-08-22 17:45:00,NZDJPY,0.0
114924,NZD,GDT Price Index,30.29,,-0.024,2005-08-23 10:33:00,NZDJPY,0.0
114902,NZD,CPI q/q,17.86,0.004,0.0,2005-08-23 17:45:00,NZDJPY,0.0
114836,NZD,GDT Price Index,30.29,,-0.024,2005-08-24 10:33:00,NZDJPY,0.0
114814,NZD,CPI q/q,17.86,0.004,0.0,2005-08-24 17:45:00,NZDJPY,0.0
114748,NZD,GDT Price Index,30.29,,-0.024,2005-08-25 10:33:00,NZDJPY,0.0
114726,NZD,CPI q/q,17.86,0.004,0.0,2005-08-25 17:45:00,NZDJPY,0.0
114662,NZD,GDT Price Index,30.29,,-0.024,2005-08-26 10:33:00,NZDJPY,0.0
114638,NZD,CPI q/q,17.86,0.004,0.0,2005-08-26 17:45:00,NZDJPY,0.0
114572,NZD,GDT Price Index,30.29,,-0.024,2005-08-27 10:33:00,NZDJPY,-2.0
114550,NZD,CPI q/q,17.86,0.004,0.0,2005-08-27 17:45:00,NZDJPY,-2.0
114484,NZD,GDT Price Index,30.29,,-0.024,2005-08-28 10:33:00,NZDJPY,-2.0
114466,NZD,CPI q/q,17.86,0.004,0.0,2005-08-28 17:45:00,NZDJPY,-2.0
114396,NZD,GDT Price Index,30.29,,-0.024,2005-08-29 10:33:00,NZDJPY,0.0
114374,NZD,CPI q/q,17.86,0.004,0.0,2005-08-29 17:45:00,NZDJPY,0.0
114310,NZD,GDT Price Index,30.29,,-0.024,2005-08-30 10:33:00,NZDJPY,0.0
114286,NZD,CPI q/q,17.86,0.004,0.0,2005-08-30 17:45:00,NZDJPY,0.0
114220,NZD,GDT Price Index,30.29,,-0.024,2005-08-31 10:33:00,NZDJPY,0.0
114198,NZD,CPI q/q,17.86,0.004,0.0,2005-08-31 17:45:00,NZDJPY,0.0
114132,NZD,GDT Price Index,30.29,,-0.024,2005-09-01 10:33:00,NZDJPY,0.0
114110,NZD,CPI q/q,17.86,0.004,0.0,2005-09-01 17:45:00,NZDJPY,0.0
114044,NZD,GDT Price Index,30.29,,-0.024,2005-09-02 10:33:00,NZDJPY,0.0
114022,NZD,CPI q/q,17.86,0.004,0.0,2005-09-02 17:45:00,NZDJPY,0.0
113955,NZD,GDT Price Index,30.29,,-0.024,2005-09-03 10:33:00,NZDJPY,-2.0
113934,NZD,CPI q/q,17.86,0.004,0.0,2005-09-03 17:45:00,NZDJPY,-2.0
113865,NZD,GDT Price Index,30.29,,-0.024,2005-09-04 10:33:00,NZDJPY,-2.0
113846,NZD,CPI q/q,17.86,0.004,0.0,2005-09-04 17:45:00,NZDJPY,-2.0
113780,NZD,GDT Price Index,30.29,,-0.024,2005-09-05 10:33:00,NZDJPY,0.0
113760,NZD,CPI q/q,17.86,0.004,0.0,2005-09-05 17:45:00,NZDJPY,0.0
113692,NZD,GDT Price Index,30.29,,-0.024,2005-09-06 10:33:00,NZDJPY,0.0
113670,NZD,CPI q/q,17.86,0.004,0.0,2005-09-06 17:45:00,NZDJPY,0.0
113604,NZD,GDT Price Index,30.29,,-0.024,2005-09-07 10:33:00,NZDJPY,0.0
113582,NZD,CPI q/q,17.86,0.004,0.0,2005-09-07 17:45:00,NZDJPY,0.0
113528,NZD,GDT Price Index,30.29,,-0.024,2005-09-08 10:33:00,NZDJPY,0.0
113493,NZD,CPI q/q,17.86,0.004,0.0,2005-09-08 17:45:00,NZDJPY,0.0
113429,NZD,GDT Price Index,30.29,,-0.024,2005-09-09 10:33:00,NZDJPY,0.0
113406,NZD,CPI q/q,17.86,0.004,0.0,2005-09-09 17:45:00,NZDJPY,0.0
113340,NZD,GDT Price Index,30.29,,-0.024,2005-09-10 10:33:00,NZDJPY,-2.0
113318,NZD,CPI q/q,17.86,0.004,0.0,2005-09-10 17:45:00,NZDJPY,-2.0
113252,NZD,GDT Price Index,30.29,,-0.024,2005-09-11 10:33:00,NZDJPY,-2.0
113230,NZD,CPI q/q,17.86,0.004,0.0,2005-09-11 17:45:00,NZDJPY,-2.0
113164,NZD,GDT Price Index,30.29,,-0.024,2005-09-12 10:33:00,NZDJPY,0.0
113142,NZD,CPI q/q,17.86,0.004,0.0,2005-09-12 17:45:00,NZDJPY,0.0
113079,NZD,GDT Price Index,30.29,,-0.024,2005-09-13 10:33:00,NZDJPY,0.0
113055,NZD,CPI q/q,17.86,0.004,0.0,2005-09-13 17:45:00,NZDJPY,0.0
112988,NZD,GDT Price Index,30.29,,-0.024,2005-09-14 10:33:00,NZDJPY,0.0
112966,NZD,CPI q/q,17.86,0.004,0.0,2005-09-14 17:45:00,NZDJPY,0.0
112899,NZD,GDT Price Index,30.29,,-0.024,2005-09-15 10:33:00,NZDJPY,0.0
112878,NZD,CPI q/q,17.86,0.004,0.0,2005-09-15 17:45:00,NZDJPY,0.0
112812,NZD,GDT Price Index,30.29,,-0.024,2005-09-16 10:33:00,NZDJPY,0.0
112790,NZD,CPI q/q,17.86,0.004,0.0,2005-09-16 17:45:00,NZDJPY,0.0
112724,NZD,GDT Price Index,30.29,,-0.024,2005-09-17 10:33:00,NZDJPY,-2.0
112702,NZD,CPI q/q,17.86,0.004,0.0,2005-09-17 17:45:00,NZDJPY,-2.0
112636,NZD,GDT Price Index,30.29,,-0.024,2005-09-18 10:33:00,NZDJPY,-2.0
112615,NZD,CPI q/q,17.86,0.004,0.0,2005-09-18 17:45:00,NZDJPY,-2.0
112548,NZD,GDT Price Index,30.29,,-0.024,2005-09-19 10:33:00,NZDJPY,0.0
112526,NZD,CPI q/q,17.86,0.004,0.0,2005-09-19 17:45:00,NZDJPY,0.0
112460,NZD,GDT Price Index,30.29,,-0.024,2005-09-20 10:33:00,NZDJPY,0.0
112438,NZD,CPI q/q,17.86,0.004,0.0,2005-09-20 17:45:00,NZDJPY,0.0
112376,NZD,GDT Price Index,30.29,,-0.024,2005-09-21 10:33:00,NZDJPY,0.0
112348,NZD,CPI q/q,17.86,0.004,0.0,2005-09-21 17:45:00,NZDJPY,0.0
112284,NZD,GDT Price Index,30.29,,-0.024,2005-09-22 10:33:00,NZDJPY,0.0
112262,NZD,CPI q/q,17.86,0.004,0.0,2005-09-22 17:45:00,NZDJPY,0.0
112196,NZD,GDT Price Index,30.29,,-0.024,2005-09-23 10:33:00,NZDJPY,0.0
112174,NZD,CPI q/q,17.86,0.004,0.0,2005-09-23 17:45:00,NZDJPY,0.0
112105,NZD,GDT Price Index,30.29,,-0.024,2005-09-24 10:33:00,NZDJPY,-2.0
112086,NZD,CPI q/q,17.86,0.004,0.0,2005-09-24 17:45:00,NZDJPY,-2.0
112020,NZD,GDT Price Index,30.29,,-0.024,2005-09-25 10:33:00,NZDJPY,-2.0
111998,NZD,CPI q/q,17.86,0.004,0.0,2005-09-25 17:45:00,NZDJPY,-2.0
111942,NZD,GDT Price Index,30.29,,-0.024,2005-09-26 10:33:00,NZDJPY,0.0
111910,NZD,CPI q/q,17.86,0.004,0.0,2005-09-26 17:45:00,NZDJPY,0.0
111844,NZD,GDT Price Index,30.29,,-0.024,2005-09-27 10:33:00,NZDJPY,0.0
111822,NZD,CPI q/q,17.86,0.004,0.0,2005-09-27 17:45:00,NZDJPY,0.0
111756,NZD,GDT Price Index,30.29,,-0.024,2005-09-28 10:33:00,NZDJPY,0.0
111734,NZD,CPI q/q,17.86,0.004,0.0,2005-09-28 17:45:00,NZDJPY,0.0
111670,NZD,GDT Price Index,30.29,,-0.024,2005-09-29 10:33:00,NZDJPY,0.0
111644,NZD,CPI q/q,17.86,0.004,0.0,2005-09-29 17:45:00,NZDJPY,0.0
111580,NZD,GDT Price Index,30.29,,-0.024,2005-09-30 10:33:00,NZDJPY,0.0
111558,NZD,CPI q/q,17.86,0.004,0.0,2005-09-30 17:45:00,NZDJPY,0.0
111492,NZD,GDT Price Index,30.29,,-0.024,2005-10-01 10:33:00,NZDJPY,-2.0
111476,NZD,CPI q/q,17.86,0.004,0.0,2005-10-01 17:45:00,NZDJPY,-2.0
111404,NZD,GDT Price Index,30.29,,-0.024,2005-10-02 10:33:00,NZDJPY,-2.0
111382,NZD,CPI q/q,17.86,0.004,0.0,2005-10-02 17:45:00,NZDJPY,-2.0
111316,NZD,GDT Price Index,30.29,,-0.024,2005-10-03 10:33:00,NZDJPY,0.0
111294,NZD,CPI q/q,17.86,0.004,0.0,2005-10-03 17:45:00,NZDJPY,0.0
111229,NZD,GDT Price Index,30.29,,-0.024,2005-10-04 10:33:00,NZDJPY,0.0
111206,NZD,CPI q/q,17.86,0.004,0.0,2005-10-04 17:45:00,NZDJPY,0.0
111140,NZD,GDT Price Index,30.29,,-0.024,2005-10-05 10:33:00,NZDJPY,0.0
111118,NZD,CPI q/q,17.86,0.004,0.0,2005-10-05 17:45:00,NZDJPY,0.0
111049,NZD,GDT Price Index,30.29,,-0.024,2005-10-06 10:33:00,NZDJPY,0.0
111030,NZD,CPI q/q,17.86,0.004,0.0,2005-10-06 17:45:00,NZDJPY,1.0
110964,NZD,GDT Price Index,30.29,,-0.024,2005-10-07 10:33:00,NZDJPY,0.0
110942,NZD,CPI q/q,17.86,0.004,0.0,2005-10-07 17:45:00,NZDJPY,0.0
110876,NZD,GDT Price Index,30.29,,-0.024,2005-10-08 10:33:00,NZDJPY,-2.0
110854,NZD,CPI q/q,17.86,0.004,0.0,2005-10-08 17:45:00,NZDJPY,-2.0
110788,NZD,GDT Price Index,30.29,,-0.024,2005-10-09 10:33:00,NZDJPY,-2.0
110770,NZD,CPI q/q,17.86,0.004,0.0,2005-10-09 17:45:00,NZDJPY,-2.0
110700,NZD,GDT Price Index,30.29,,-0.024,2005-10-10 10:33:00,NZDJPY,0.0
110677,NZD,CPI q/q,17.86,0.004,0.0,2005-10-10 17:45:00,NZDJPY,0.0
110612,NZD,GDT Price Index,30.29,,-0.024,2005-10-11 10:33:00,NZDJPY,0.0
110590,NZD,CPI q/q,17.86,0.004,0.0,2005-10-11 17:45:00,NZDJPY,0.0
110545,NZD,GDT Price Index,30.29,,-0.024,2005-10-12 10:33:00,NZDJPY,0.0
110502,NZD,CPI q/q,17.86,0.004,0.0,2005-10-12 17:45:00,NZDJPY,0.0
110436,NZD,GDT Price Index,30.29,,-0.024,2005-10-13 10:33:00,NZDJPY,0.0
110414,NZD,CPI q/q,17.86,0.004,0.0,2005-10-13 17:45:00,NZDJPY,0.0
110348,NZD,GDT Price Index,30.29,,-0.024,2005-10-14 10:33:00,NZDJPY,0.0
110327,NZD,CPI q/q,17.86,0.004,0.0,2005-10-14 17:45:00,NZDJPY,0.0
110260,NZD,GDT Price Index,30.29,,-0.024,2005-10-15 10:33:00,NZDJPY,-2.0
110238,NZD,CPI q/q,17.86,0.004,0.0,2005-10-15 17:45:00,NZDJPY,-2.0
110172,NZD,GDT Price Index,30.29,,-0.024,2005-10-16 10:33:00,NZDJPY,-2.0
110150,NZD,CPI q/q,17.86,0.004,0.0,2005-10-16 17:45:00,NZDJPY,-2.0
110084,NZD,GDT Price Index,30.29,,-0.024,2005-10-17 10:33:00,NZDJPY,0.0
110062,NZD,CPI q/q,17.86,0.004,0.0,2005-10-17 17:45:00,NZDJPY,0.0
109996,NZD,GDT Price Index,30.29,,-0.024,2005-10-18 10:33:00,NZDJPY,0.0
109974,NZD,CPI q/q,17.86,0.004,0.0,2005-10-18 17:45:00,NZDJPY,0.0
109910,NZD,GDT Price Index,30.29,,-0.024,2005-10-19 10:33:00,NZDJPY,0.0
109886,NZD,CPI q/q,17.86,0.004,0.0,2005-10-19 17:45:00,NZDJPY,0.0
109817,NZD,GDT Price Index,30.29,,-0.024,2005-10-20 10:33:00,NZDJPY,0.0
109795,NZD,CPI q/q,17.86,0.004,0.0,2005-10-20 17:45:00,NZDJPY,0.0
109732,NZD,GDT Price Index,30.29,,-0.024,2005-10-21 10:33:00,NZDJPY,0.0
109710,NZD,CPI q/q,17.86,0.004,0.0,2005-10-21 17:45:00,NZDJPY,0.0
109644,NZD,GDT Price Index,30.29,,-0.024,2005-10-22 10:33:00,NZDJPY,-2.0
109622,NZD,CPI q/q,17.86,0.004,0.0,2005-10-22 17:45:00,NZDJPY,-2.0
109556,NZD,GDT Price Index,30.29,,-0.024,2005-10-23 10:33:00,NZDJPY,-2.0
109534,NZD,CPI q/q,17.86,0.004,0.0,2005-10-23 17:45:00,NZDJPY,-2.0
109468,NZD,GDT Price Index,30.29,,-0.024,2005-10-24 10:33:00,NZDJPY,0.0
109446,NZD,CPI q/q,17.86,0.004,0.0,2005-10-24 17:45:00,NZDJPY,0.0
109379,NZD,GDT Price Index,30.29,,-0.024,2005-10-25 10:33:00,NZDJPY,0.0
109358,NZD,CPI q/q,17.86,0.004,0.0,2005-10-25 17:45:00,NZDJPY,0.0
109302,NZD,GDT Price Index,30.29,,-0.024,2005-10-26 10:33:00,NZDJPY,0.0
109270,NZD,CPI q/q,17.86,0.004,0.0,2005-10-26 17:45:00,NZDJPY,0.0
109204,NZD,GDT Price Index,30.29,,-0.024,2005-10-27 10:33:00,NZDJPY,0.0
109185,NZD,CPI q/q,17.86,0.004,0.0,2005-10-27 17:45:00,NZDJPY,0.0
109116,NZD,GDT Price Index,30.29,,-0.024,2005-10-28 10:33:00,NZDJPY,0.0
109094,NZD,CPI q/q,17.86,0.004,0.0,2005-10-28 17:45:00,NZDJPY,0.0
109028,NZD,GDT Price Index,30.29,,-0.024,2005-10-29 10:33:00,NZDJPY,-2.0
109006,NZD,CPI q/q,17.86,0.004,0.0,2005-10-29 17:45:00,NZDJPY,-2.0
108940,NZD,GDT Price Index,30.29,,-0.024,2005-10-30 10:33:00,NZDJPY,-2.0
108918,NZD,CPI q/q,17.86,0.004,0.0,2005-10-30 17:45:00,NZDJPY,-2.0
108852,NZD,GDT Price Index,30.29,,-0.024,2005-10-31 10:33:00,NZDJPY,0.0
108830,NZD,CPI q/q,17.86,0.004,0.0,2005-10-31 17:45:00,NZDJPY,0.0
108764,NZD,GDT Price Index,30.29,,-0.024,2005-11-01 10:33:00,NZDJPY,0.0
108742,NZD,CPI q/q,17.86,0.004,0.0,2005-11-01 17:45:00,NZDJPY,0.0
108676,NZD,GDT Price Index,30.29,,-0.024,2005-11-02 10:33:00,NZDJPY,0.0
108654,NZD,CPI q/q,17.86,0.004,0.0,2005-11-02 17:45:00,NZDJPY,0.0
108588,NZD,GDT Price Index,30.29,,-0.024,2005-11-03 10:33:00,NZDJPY,0.0
108566,NZD,CPI q/q,17.86,0.004,0.0,2005-11-03 17:45:00,NZDJPY,0.0
108500,NZD,GDT Price Index,30.29,,-0.024,2005-11-04 10:33:00,NZDJPY,0.0
108484,NZD,CPI q/q,17.86,0.004,0.0,2005-11-04 17:45:00,NZDJPY,0.0
108412,NZD,GDT Price Index,30.29,,-0.024,2005-11-05 10:33:00,NZDJPY,-2.0
